model,year,price,mileage,tax,mpg,engineSize,manual,automatic,fuelType,petrol,diesel,hybrid
I20,2013,4995,30460,30,57.6,1.2,1,0,4,1,0,0
IX20,2013,4799,85000,150,45.6,1.4,1,0,4,1,0,0
Fiesta,2015,8495,12734,125,54.3,1.2,1,0,4,1,0,0
I20,2017,7999,17307,145,58.9,1.2,1,0,4,1,0,0
Tiguan,2017,18491,25840,165,49.6,2,0,1,1,0,1,0
Mondeo,2015,11414,20486,20,67.3,2,1,0,1,0,1,0
3 Series,2018,17998,54762,150,48.7,2,0,1,4,1,0,0
Edge,2019,30990,10,145,37.2,2,0,1,1,0,1,0
Golf,2016,12791,36584,30,53.3,1.4,1,0,4,1,0,0
Santa Fe,2015,14500,54000,265,42.2,2.2,0,1,1,0,1,0
Golf,2017,11500,34468,150,54.3,1.4,1,0,4,1,0,0
Auris,2015,12995,44798,0,70.6,1.8,0,1,2,0,0,1
RAV4,2016,21990,33390,20,55.4,2.5,0,1,2,0,0,1
I30,2015,6498,40237,0,78.4,1.6,1,0,1,0,1,0
Up,2017,8299,9028,145,64.2,1,1,0,4,1,0,0
4 Series,2013,12982,47852,145,47.1,2,0,1,4,1,0,0
Caravelle,2019,35495,1099,145,32.8,2,0,1,1,0,1,0
Corolla,2020,22990,2797,135,62.8,1.8,0,1,2,0,0,1
Aygo,2018,7495,2611,145,69,1,1,0,4,1,0,0
Golf,2017,11998,23878,0,74.3,1.6,1,0,1,0,1,0
Corsa,2019,12495,15,145,43.5,1.4,1,0,4,1,0,0
3 Series,2017,18490,32500,150,64.2,2,0,1,1,0,1,0
Yaris,2017,8298,23317,30,58,1.3,1,0,4,1,0,0
I30,2018,11498,11122,145,74.3,1.6,1,0,1,0,1,0
Rapid,2014,6995,41648,125,52.3,1.2,1,0,4,1,0,0
Crossland X,2019,17866,449,145,44.1,1.2,0,1,4,1,0,0
Tucson,2018,15691,9046,145,44.8,1.6,1,0,4,1,0,0
Yeti Outdoor,2016,11995,53918,145,55.4,2,1,0,1,0,1,0
Kuga,2015,12998,31916,235,38.2,1.5,0,1,4,1,0,0
Meriva,2014,5498,47105,145,47.1,1.4,1,0,4,1,0,0
A6,2016,16990,35421,30,64.2,2,1,0,1,0,1,0
A1,2017,14490,19229,30,56.5,1.4,1,0,4,1,0,0
Corsa,2015,5698,32024,125,52.3,1.2,1,0,4,1,0,0
C Class,2019,24980,2072,145,47.9,2,0,1,4,1,0,0
Golf,2019,21995,3000,150,45.6,1.5,0,1,4,1,0,0
Octavia,2018,12998,19201,150,67.3,1.6,1,0,1,0,1,0
Yaris,2016,9000,12636,30,58,1.3,1,0,4,1,0,0
Yaris,2015,9995,27966,0,86,1.5,0,1,2,0,0,1
Ioniq,2018,16995,31852,135,78.5,1.6,0,1,2,0,0,1
Q5,2017,30981,18331,145,40.4,2,0,1,4,1,0,0
B Class,2019,23990,2501,145,55.4,2,0,1,1,0,1,0
Fabia,2017,8995,16950,145,57.7,1,1,0,4,1,0,0
Fiesta,2019,20500,3000,145,40.3,1.5,1,0,4,1,0,0
Crossland X,2018,11200,16358,145,54.3,1.2,1,0,4,1,0,0
Focus,2014,6926,40360,20,58.9,1,1,0,4,1,0,0
Yaris,2019,11450,13228,145,47.9,1.5,1,0,4,1,0,0
Avensis,2016,7950,59244,20,67.3,1.6,1,0,1,0,1,0
Q3,2019,25000,4500,145,40.9,1.5,1,0,4,1,0,0
A3,2019,23490,15080,145,41.5,1.5,0,1,4,1,0,0
Golf,2019,15990,18000,145,55.4,1.6,1,0,1,0,1,0
3 Series,2019,24775,3043,145,64.2,2,1,0,1,0,1,0
Fiesta,2017,11499,15713,145,57.7,1,0,1,4,1,0,0
A3,2019,32995,6171,150,34.9,2,0,1,4,1,0,0
Octavia,2018,14990,15250,145,56.5,1.5,0,1,4,1,0,0
Aygo,2018,9450,5000,150,56.5,1,0,1,4,1,0,0
A3,2019,22888,6018,145,40.9,2,0,1,4,1,0,0
Mokka X,2017,12499,16627,150,47.1,1.4,1,0,4,1,0,0
Santa Fe,2017,19995,19222,145,47.1,2.2,1,0,1,0,1,0
Caddy Maxi Life,2019,21750,2285,145,57.7,2,1,0,1,0,1,0
I20,2016,9560,15085,30,58.9,1,1,0,4,1,0,0
T-Roc,2019,25999,3658,145,46.3,2,1,0,1,0,1,0
Octavia,2019,13990,12269,145,55.4,1.5,1,0,4,1,0,0
Citigo,2015,6492,18367,20,64.2,1,0,1,4,1,0,0
Auris,2014,10999,42015,0,74.3,1.8,0,1,2,0,0,1
Aygo,2018,7950,12780,145,68.9,1,1,0,4,1,0,0
Polo,2016,8490,37373,20,60.1,1.2,1,0,4,1,0,0
Citigo,2019,8995,9,145,67.3,1,1,0,4,1,0,0
Aygo,2019,9995,5252,145,57.7,1,1,0,4,1,0,0
Aygo,2008,2495,99000,20,61.4,1,1,0,4,1,0,0
1 Series,2017,15490,25763,145,46.3,2,1,0,4,1,0,0
Astra,2016,9399,27433,20,72.4,1.6,1,0,1,0,1,0
Corsa,2016,10080,9301,145,47.9,1.4,0,1,4,1,0,0
Passat,2018,20495,22765,150,57.6,2,0,1,1,0,1,0
A4,2019,23000,10134,145,48.7,2,0,1,1,0,1,0
A Class,2019,19290,14408,145,65.7,1.5,0,1,1,0,1,0
I20,2019,9699,17084,145,46.3,1.2,1,0,4,1,0,0
1 Series,2017,20995,31544,145,39.8,3,0,1,4,1,0,0
